"","Subject1Tag","Subject2Tag","ExtendedID","R","RelationshipPath","Intell_1","Strength_1","Orientation_1","Intell_2","Strength_2","Orientation_2"
"1",300,400,3,0.5,1,49.444,0.1514597088,-1,55.761,NA,NA
"2",500,600,5,0.5,1,96.772,NA,NA,99.393,0.4091308328,1
"3",1300,1400,13,0.5,1,72.313,NA,NA,98.798,-0.268630856,1
"4",1700,1800,17,0.5,1,89.669,1.0313583431,0,95.977,0.965207941,1
"5",2000,2100,20,0.5,1,67.021,0.1972426808,0,88.416,0.965207941,-1
"6",2300,2400,23,NA,1,83.214,NA,NA,66.029,NA,NA
"7",2700,2800,27,0.5,1,96.674,0.614300512,-1,92.784,NA,NA
"8",2900,3000,29,0.5,1,25.905,0.6871693869,-1,8.528,-0.21981515,0
"9",3200,3300,32,0.5,1,NA,NA,NA,NA,-1.796393039,0
"10",3400,3500,34,0.5,1,6.069,-0.54666941,-1,53.046,NA,NA
"11",3700,3800,37,0.5,1,56.29,-0.21981515,0,12.788,0.1514597088,-1
"12",4000,4100,40,0.5,1,38.419,0.6871693869,1,57.095,-1.041644227,1
"13",5000,5100,50,NA,1,78.742,0.4091308328,-1,NA,NA,NA
"14",5500,5600,55,NA,1,NA,NA,NA,76.02,NA,NA
"15",5800,5900,58,0.375,1,91.625,0.2874462527,1,98.841,0.614300512,1
"16",5800,6000,58,0.5,1,91.625,0.2874462527,1,82.98,NA,NA
"17",5900,6000,58,0.5,1,98.841,0.614300512,1,82.98,NA,NA
"18",6100,6200,61,0.5,1,99.15,0.614300512,0,36.384,0.1972426808,0
"19",6300,6400,63,0.5,1,87.934,0.1972426808,1,92.989,NA,NA
"20",6300,6500,63,0.5,1,87.934,0.1972426808,1,75.171,NA,NA
"21",6400,6500,63,0.5,1,92.989,NA,NA,75.171,NA,NA
"22",6700,6800,67,0.5,1,93.246,0.614300512,0,100,0.1972426808,-1
"23",7000,7100,70,NA,1,NA,0.1972426808,1,98.077,NA,NA
"24",7400,7500,74,0.5,1,95.536,NA,NA,83.379,0.6871693869,-1
"25",7400,7600,74,0.5,1,95.536,NA,NA,42.78,0.0094076986,-1
"26",7500,7600,74,0.5,1,83.379,0.6871693869,-1,42.78,0.0094076986,-1
"27",7800,7900,78,0.5,1,85.347,NA,NA,96.084,NA,NA
"28",8000,8100,80,0.5,1,78.759,0.965207941,-1,29.497,NA,NA
"29",8300,8400,83,0.5,1,2.366,-1.319682781,-1,21.008,0.1921945691,-1
"30",8500,8600,85,0.5,1,2.427,-1.379335208,0,7.198,-0.085843985,-1
"31",8500,8700,85,0.5,1,2.427,-1.379335208,0,12.463,0.1310922787,-1
"32",8600,8700,85,0.5,1,7.198,-0.085843985,-1,12.463,0.1310922787,-1
"33",9000,9100,90,0.5,1,80.298,0.1972426808,-1,22.823,0.1310922787,-1
"34",9400,9500,94,0.5,1,NA,-0.21981515,0,34.573,0.1972426808,0
"35",10100,10200,101,0.5,1,87.368,NA,NA,56.649,0.1310922787,-1
"36",10700,10800,107,0.5,1,65.347,0.965207941,1,96.818,0.0094076986,-1
"37",11000,11100,110,0.5,1,64.697,-0.268630856,1,46.195,0.614300512,-1
